model,auc_roc,precision,f1,feature_importance
random_forest,0.9872408293460925,0.7333333333333333,0.8461538461538461,"{'danceability': 0.10374189030432918, 'energy': 0.1253960226267057, 'key': 0.002696847712173414, 'loudness': 0.26705888129616745, 'mode': 0.002550295000146641, 'speechiness': 0.02845976970435, 'acousticness': 0.057754764007503005, 'instrumentalness': 0.003599296670227103, 'liveness': 0.02791177586105086, 'valence': 0.1209852872254068, 'tempo': 0.2598451695919399}"
gradient_boosting,0.960127591706539,0.875,0.7368421052631579,"{'danceability': 0.08149105133507757, 'energy': 0.07561982809071871, 'key': 0.0, 'loudness': 0.5946564937199481, 'mode': 0.00038828335548979673, 'speechiness': 0.014250690369825878, 'acousticness': 0.01602721963427108, 'instrumentalness': 0.0002195188892809926, 'liveness': 0.0007034092909267946, 'valence': 0.10657236660204537, 'tempo': 0.11007113871241579}"
logistic_regression,0.9330143540669857,0.4888888888888889,0.6567164179104478,
